Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
ygiN	ygiN	[TU0-13836 3,173,142 &rarr; 3,173,456]	315	+
ygiQ	ygiQ	[TU0-13827 3,158,927 &larr; 3,161,146]	2220	-
ygiS	ygiS	[TU0-13831 3,166,111 &larr; 3,167,718]	1608	-
ygiV	ygiV	[TU0-13833 3,168,749 &larr; 3,169,231]	483	-
ygiW	ygiW	[TU0-13834 3,169,284 &larr; 3,169,676]	393	-
ygiZ	ygiZ	[ygiZ 3,171,879 &larr; 3,172,211]	333	-
ygjH	ygjH	[ygjH 3,220,915 &larr; 3,221,247]	333	-
ygjI	ygjI	[TU0-13851 3,226,234 &rarr; 3,227,667]	1434	+
ygjK // ygjJ	ygjJ // ygjK	[TU0-13852 3,227,801 &rarr; 3,231,239]	3439	+
ygjP	ygjP	[TU0-13856 3,235,960 &rarr; 3,236,463]	504	+
ygjQ	ygjQ	[TU0-13857 3,236,540 &rarr; 3,237,232]	693	+
ygjR	ygjR	[ygjR 3,237,311 &rarr; 3,238,297]	987	+
ygjV	ygjV	[TU0-13861 3,241,193 &larr; 3,241,744]	552	-
yhaC // yhaB	yhaC // yhaB	[TU0-13871 3,267,854 &rarr; 3,269,602]	1749	+
yhaH	yhaH	[TU0-13866 3,252,304 &rarr; 3,252,669]	366	+
yhaI	yhaI	[TU0-13867 3,252,911 &rarr; 3,253,267]	357	+
yhaJ	yhaJ	[yhaJ 3,253,318 &larr; 3,254,214]	897	-
yhaL // yhaK	yhaK // yhaL	[TU0-13868 3,254,319 &rarr; 3,255,207]	889	+
yhbE // obgE	yhbE // obgE	[TU0-13884 3,330,582 &larr; 3,332,735]	2154	-
yhbO	yhbO	[yhbO 3,298,974 &rarr; 3,299,492]	519	+
yhbP	yhbP	[yhbP 3,299,472 &larr; 3,299,915]	444	-
yhbQ	yhbQ	[yhbQ 3,299,966 &rarr; 3,300,268]	303	+
yhbW	yhbW	[TU0-13879 3,303,448 &rarr; 3,304,455]	1008	+
yhbX	yhbX	[TU0-13882 3,319,988 &larr; 3,321,613]	1626	-
yhbY	yhbY	[yhbY 3,327,790 &rarr; 3,328,083]	294	+
yhcE // yhcD // yhcA	yhcA // yhcE // yhcD			+
yhcB	yhcB	[yhcB 3,380,191 &rarr; 3,380,589]	399	+
yhcC	yhcC	[TU0-13891 3,353,121 &larr; 3,354,050]	930	-
yhcF // yhcE_2	yhcF	[TU0-13893 3,366,926 &rarr; 3,367,642]	717	+
yhcG	yhcG	[TU0-13894 3,367,827 &rarr; 3,368,954]	1128	+
yhcN	yhcN	[TU0-13899 3,385,538 &rarr; 3,385,801]	264	+
yhcO	yhcO	[TU0-13900 3,385,857 &larr; 3,386,129]	273	-
yhdH	yhdH	[yhdH 3,403,484 &rarr; 3,404,458]	975	+
yhdJ	yhdJ	[TU0-13905 3,411,653 &rarr; 3,412,537]	885	+
yhdN-zntR	yhdN // zntR	[yhdN-zntR 3,438,705 &larr; 3,439,509]	805	-
yhdP	yhdP	[TU0-13903 3,392,458 &larr; 3,396,258]	3801	-
yhdT-panF-prmA	prmA // panF // yhdT	[yhdT-panF-prmA 3,407,375 &rarr; 3,409,951]	2577	+
yhdU	yhdU	[TU0-13906 3,412,621 &rarr; 3,412,800]	180	+
yhdV	yhdV	[TU0-13907 3,418,390 &rarr; 3,418,611]	222	+
yhdWXYZ	yhdW // yhdZ // yhdY // yhdX	[yhdWXYZ 3,419,042 &rarr; 3,423,194]	4153	+
yheO-tusDCB	tusC // tusB // tusD // yheO	[yheO-tusDCB 3,474,678 &larr; 3,476,440]	1763	-
yheO-tusDCB	tusC // tusB // tusD // yheO	[yheO-tusDCB 3,474,678 &larr; 3,476,440]	1763	-
yheU // yheT // yheS	yheS // yheU // yheT	[TU0-13919 3,481,289 &rarr; 3,484,436]	3148	+
yhfA	yhfA	[yhfA 3,485,414 &larr; 3,485,818]	405	-
yhfG-fic-pabA	yhfG // pabA // fic	[yhfG-fic-pabA 3,490,266 &larr; 3,491,620]	1355	-
yhfK	yhfK	[yhfK 3,486,791 &rarr; 3,488,893]	2103	+
yhfL	yhfL	[TU0-13923 3,499,448 &rarr; 3,499,615]	168	+
yhfX // yhfW // php // yhfU // yhfT // yhfS	yhfW // php // yhfT // yhfU // yhfS // yhfX	[TU0-13924 3,504,935 &larr; 3,510,976]	6042	-
yhfZ // yhfY	yhfY // yhfZ	[TU0-13925 3,511,060 &larr; 3,512,344]	1285	-
yhgE	yhgE	[yhgE 3,530,715 &larr; 3,532,439]	1725	-
yhgF	yhgF	[TU0-13932 3,537,385 &rarr; 3,539,706]	2322	+
yhgN	yhgN	[yhgN 3,575,071 &rarr; 3,575,664]	594	+
yhhA	yhhA	[yhhA 3,586,943 &rarr; 3,587,383]	441	+
yhhH	yhhH	[TU0-13949 3,623,399 &rarr; 3,623,782]	384	+
yhhI	yhhI	[TU0-13951 3,624,378 &rarr; 3,625,514]	1137	+
yhhM	yhhM	[yhhM 3,605,251 &larr; 3,605,610]	360	-
yhhN	yhhN	[TU0-13943 3,605,751 &rarr; 3,606,377]	627	+
yhhQ	yhhQ	[TU0-13944 3,609,217 &rarr; 3,609,882]	666	+
yhhS	yhhS	[yhhS 3,610,516 &larr; 3,611,733]	1218	-
yhhT	yhhT	[TU0-13946 3,611,865 &rarr; 3,612,914]	1050	+
yhhW	yhhW	[TU0-13936 3,578,950 &larr; 3,579,645]	696	-
yhhX	yhhX	[TU0-13937 3,579,768 &larr; 3,580,805]	1038	-
yhhY	yhhY	[yhhY 3,581,138 &rarr; 3,581,626]	489	+
insB6 // insA6 // insAB6 // yrhA // yhhZ	yhhZ // insB6 // insA6 // yrhA // insAB6			+
yhiD	yhiD	[TU0-13962 3,655,255 &larr; 3,655,902]	648	-
yhiI // rbbA // yhhJ	yhiI // rbbA // yhhJ	[TU0-13952 3,625,679 &larr; 3,630,602]	4924	-
yhiJ	yhiJ	[TU0-13953 3,630,968 &larr; 3,632,590]	1623	-
yhiL	yhiL	[yhiL 3,632,852 &larr; 3,634,458]	1607	-
yhiM	yhiM	[yhiM 3,634,841 &rarr; 3,635,893]	1053	+
yhiN	yhiN	[yhiN 3,636,208 &larr; 3,637,410]	1203	-
yhiS	yhiS	[TU0-13960 NIL &rarr; NIL]		+
yhjA	ccp	[yhjA 3,667,791 &larr; 3,669,188]	1398	-
yhjB	yhjB	[yhjB 3,671,292 &larr; 3,671,894]	603	-
yhjC	yhjC	[yhjC 3,672,414 &rarr; 3,673,313]	900	+
yhjD	yhjD	[TU0-13967 3,673,362 &rarr; 3,674,375]	1014	+
yhjE	yhjE	[TU0-13968 3,674,786 &rarr; 3,676,108]	1323	+
yhjG	yhjG	[yhjG 3,676,290 &larr; 3,678,350]	2061	-
yhjH	pdeH	[yhjH 3,678,420 &larr; 3,679,187]	768	-
yhjJ	yhjJ	[yhjJ 3,680,444 &larr; 3,681,940]	1497	-
yhjR	yhjR	[yhjR 3,695,997 &larr; 3,696,185]	189	-
yhjV	yhjV	[TU0-13974 3,700,563 &rarr; 3,701,834]	1272	+
yhjX	yhjX	[yhjX 3,710,799 &larr; 3,712,007]	1209	-
yhjY	yhjY	[TU0-13977 3,712,236 &larr; 3,712,934]	699	-
yiaA	yiaA	[yiaA 3,726,924 &larr; 3,727,361]	438	-
yiaB	yiaB	[TU0-13983 3,727,407 &larr; 3,727,748]	342	-
yiaD	yiaD	[TU0-13979 3,716,547 &rarr; 3,717,206]	660	+
yiaF	yiaF	[yiaF 3,718,334 &larr; 3,719,044]	711	-
yiaG	yiaG	[yiaG 3,719,478 &rarr; 3,719,768]	291	+
yiaJ	plaR	[yiaJ 3,741,684 &larr; 3,742,532]	849	-
yiaKLMNO-lyx-sgbHUE	sgbU // lyxK // yiaK // sgbE // yiaM // yiaO // yiaN // yiaL // sgbH	[yiaKLMNO-lyx-sgbHUE 3,742,733 &rarr; 3,750,781]	8049	+
yiaKLMNO-lyx-sgbHUE	sgbU // lyxK // yiaK // sgbE // yiaM // yiaO // yiaN // yiaL // sgbH	[yiaKLMNO-lyx-sgbHUE 3,742,733 &rarr; 3,750,781]	8049	+
yiaT	yiaT	[yiaT 3,751,128 &larr; 3,751,868]	741	-
yiaU	yiaU	[yiaU 3,751,992 &rarr; 3,752,966]	975	+
yiaW // yiaV	yiaW // yiaV	[TU0-13986 3,752,963 &larr; 3,754,428]	1466	-
yiaY	yiaY	[TU0-13987 3,756,676 &larr; 3,757,827]	1152	-
yibA	yibA	[yibA 3,766,337 &rarr; 3,767,179]	843	+
yibD	waaH	[yibD 3,789,047 &larr; 3,790,081]	1035	-
yibD	waaH	[yibD 3,789,047 &larr; 3,790,081]	1035	-
yibF	yibF	[yibF 3,761,347 &larr; 3,761,955]	609	-
yibG	yibG	[TU0-13991 3,768,177 &rarr; 3,768,638]	462	+
yibI // yibH	yibH // yibI	[TU0-13992 3,770,243 &larr; 3,771,744]	1502	-
yibJ	yibJ	[TU0-13990 3,767,221 &rarr; 3,767,922]	702	+
yibL	yibL	[TU0-13993 3,776,665 &rarr; 3,777,027]	363	+
yibN	yibN	[TU0-13997 3,784,584 &larr; 3,785,015]	432	-
yibN-grxC-secB-gpsA	gpsA // secB // yibN // grxC	[yibN-grxC-secB-gpsA 3,782,642 &larr; 3,785,015]	2374	-
yibT	yibT	[yibT 3,776,171 &larr; 3,776,380]	210	-
yicC	yicC	[yicC 3,816,676 &rarr; 3,817,539]	864	+
yicG	yicG	[TU0-14003 3,818,874 &rarr; 3,819,491]	618	+
yicH	yicH	[yicH 3,830,457 &rarr; 3,832,166]	1710	+
yicJI	yicI // yicJ	[yicJI 3,832,219 &larr; 3,835,929]	3711	-
yicL	yicL	[TU0-14009 3,838,248 &rarr; 3,839,171]	924	+
yicN	yicN	[TU0-14011 3,841,950 &larr; 3,842,402]	453	-
yicR-rpmBG	rpmG // rpmB // yicR	[yicR-rpmBG 3,811,250 &larr; 3,812,559]	1310	-
yicR-rpmBG-mutM	mutM // rpmG // rpmB // yicR	[yicR-rpmBG-mutM 3,810,343 &larr; 3,812,559]	2217	-
yicS	yicS	[yicS 3,840,215 &rarr; 3,840,508]	294	+
yidA	yidA	[TU0-14019 3,876,140 &larr; 3,876,952]	813	-
yidB	yidB	[TU0-14020 3,877,067 &larr; 3,877,465]	399	-
yidE	yidE	[TU0-14017 3,864,612 &larr; 3,866,273]	1662	-
yidH // yidG // yidF	yidH // yidG // yidF	[TU0-14014 3,855,114 &larr; 3,856,307]	1194	-
yidI	yidI	[yidI 3,856,415 &rarr; 3,856,864]	450	+
yidK // yidJ	yidJ // yidK	[TU0-14015 3,856,911 &larr; 3,860,116]	3206	-
yidL	yidL	[yidL 3,860,283 &rarr; 3,861,176]	894	+
yidP	yidP	[yidP 3,863,899 &rarr; 3,864,615]	717	+
yidQ	yidQ	[yidQ 3,867,728 &rarr; 3,868,060]	333	+
yidR	yidR	[yidR 3,868,062 &larr; 3,869,309]	1248	-
yidX	yidX	[yidX 3,875,438 &rarr; 3,876,094]	657	+
yidZ	yidZ	[TU0-14023 3,892,765 &rarr; 3,893,724]	960	+
yieEF	yieE // yieF	[yieEF 3,893,881 &rarr; 3,895,218]	1338	+
yieG	adeP	[yieG 3,895,272 &larr; 3,896,609]	1338	-
yieH	yieH	[TU0-14025 3,896,774 &rarr; 3,897,439]	666	+
yieP // hsrA	yieP // hsrA	[TU0-14033 3,939,185 &larr; 3,941,327]	2143	-
yifB	yifB	[yifB 3,948,449 &larr; 3,949,969]	1521	-
yifE	maoP	[yifE 3,948,086 &rarr; 3,948,424]	339	+
yifK	yifK	[TU0-14040 3,980,887 &rarr; 3,982,272]	1386	+
yifL-dapF-yigA-xerC-yigB	yigA // xerC // dapF // yigB // yifL	[yifL-dapF-yigA-xerC-yigB 3,994,522 &rarr; 3,997,899]	3378	+
yifN	yifN	[TU0-14035 3,960,012 &larr; 3,960,460]	449	-
yigE	yigE	[yigE 4,000,292 &larr; 4,001,056]	765	-
yigG // yigF	yigG // yigF	[TU0-14043 4,002,419 &larr; 4,003,193]	775	-
yigI	yigI	[yigI 4,004,230 &larr; 4,004,697]	468	-
yihA	yihA	[yihA 4,050,133 &larr; 4,050,765]	633	-
yihD	yihD	[yihD 4,042,069 &rarr; 4,042,338]	270	+
yihF	yihF	[TU0-14058 4,044,199 &rarr; 4,045,629]	1431	+
yihG	yihG	[yihG 4,045,670 &larr; 4,046,602]	933	-
yihI	yihI	[yihI 4,051,347 &rarr; 4,051,856]	510	+
yihM // yihL	yihM // yihL	[TU0-14062 4,060,447 &rarr; 4,062,145]	1699	+
yihN	yihN	[TU0-14063 4,062,247 &rarr; 4,063,512]	1266	+
yihP // yihO	yihP // yihO	[TU0-14065 4,064,363 &larr; 4,067,194]	2832	-
yihQ	yihQ	[TU0-14066 4,067,240 &larr; 4,069,276]	2037	-
yihR	yihR	[TU0-14067 4,069,475 &larr; 4,070,401]	927	-
yihUTS	yihS // yihU // yihT	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
yihUTS	yihS // yihU // yihT	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
yihUTS	yihS // yihU // yihT	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
yihUTS	yihS // yihU // yihT	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
yihUTS	yihS // yihU // yihT	[yihUTS 4,070,515 &larr; 4,073,571]	3057	-
yihV-csqR	csqR // yihV	[yihV-csqR 4,073,739 &rarr; 4,075,454]	1716	+
yihW	csqR	[yihW 4,074,669 &rarr; 4,075,454]	786	+
yihXY-dtd-fabY	dtd // fabY // yihX // yihY	[yihXY-dtd-fabY 4,075,553 &rarr; 4,078,438]	2886	+
yiiE	yiiE	[TU0-14071 4,079,291 &rarr; 4,079,509]	219	+
yiiF terminator // yiiF	yiiF	[TU0-14072 4,079,751 &rarr; 4,079,969]	219	+
yiiG	yiiG	[TU0-14074 4,087,002 &rarr; 4,088,057]	1056	+
yiiM	yiiM	[TU0-14077 4,102,822 &rarr; 4,103,496]	675	+
yiiQ	yiiQ	[TU0-14081 4,111,615 &larr; 4,112,214]	600	-
yiiR	yiiR	[TU0-14082 4,112,315 &rarr; 4,112,755]	441	+
yiiS-uspD	uspD // yiiS	[yiiS-uspD 4,112,967 &rarr; 4,113,721]	755	+
yiiU	zapB	[yiiU 4,118,515 &rarr; 4,118,760]	246	+
yiiX	yiiX	[TU0-14088 4,127,286 &larr; 4,127,894]	609	-
yijE	yijE	[TU0-14089 4,136,108 &rarr; 4,137,013]	906	+
yijF	yijF	[TU0-14090 4,137,040 &larr; 4,137,657]	618	-
yijO	yijO	[TU0-14093 4,147,466 &larr; 4,148,317]	852	-
yjaA	yjaA	[TU0-14105 4,213,234 &rarr; 4,213,617]	384	+
yjaB	yjaB	[yjaB 4,213,680 &larr; 4,214,123]	444	-
yjaG	yjaG	[TU0-14104 4,199,504 &rarr; 4,200,094]	591	+
yjaH	yjaH	[yjaH 4,200,566 &rarr; 4,201,261]	696	+
yjaZ	yjaZ	[yjaZ 4,189,786 &rarr; 4,190,325]	540	+
yjbB	yjbB	[yjbB 4,227,731 &rarr; 4,229,362]	1632	+
yjbD	yjbD	[TU0-14108 4,231,359 &larr; 4,231,631]	273	-
yjbE	yjbE	[yjbE 4,235,906 &rarr; 4,236,148]	243	+
yjbEFGH	yjbG // yjbF // yjbE // yjbH	[yjbEFGH 4,235,906 &rarr; 4,239,730]	3825	+
yjbEFGH	yjbG // yjbF // yjbE // yjbH	[yjbEFGH 4,235,906 &rarr; 4,239,730]	3825	+
yjbH // yjbG // yjbF	yjbG // yjbF // yjbH	[TU0-14112 4,236,262 &rarr; 4,239,730]	3469	+
yjbI	yjbI	[TU0-14114 4,250,703 &rarr; 4,252,283]	1581	+
yjbJ	yjbJ	[TU0-14116 4,259,237 &rarr; 4,259,446]	210	+
yjbM // yjbL	yjbM // yjbL	[TU0-14117 4,260,321 &rarr; 4,261,306]	986	+
yjbQR	yjbQ // yjbR	[yjbQR 4,270,238 &rarr; 4,271,014]	777	+
yjcB	yjcB	[yjcB 4,274,760 &larr; 4,275,041]	282	-
yjcC	pdeC	[yjcC 4,275,471 &rarr; 4,277,057]	1587	+
yjcE	yjcE	[TU0-14124 4,279,980 &rarr; 4,281,629]	1650	+
yjcF	yjcF	[TU0-14125 4,281,783 &larr; 4,283,075]	1293	-
yjcO	yjcO	[TU0-14127 4,296,436 &larr; 4,297,125]	690	-
yjcS	yjcS	[yjcS 4,304,612 &larr; 4,306,597]	1986	-
yjdC	yjdC	[yjdC 4,362,733 &larr; 4,363,308]	576	-
yjdF	yjdF	[TU0-14136 4,344,929 &larr; 4,345,558]	630	-
yjdJ // yjdI	yjdI // yjdJ	[TU0-14137 4,351,843 &rarr; 4,352,357]	515	+
yjdM	yjdM	[TU0-14132 4,326,399 &larr; 4,326,734]	336	-
yjdN	yjdN	[TU0-14131 4,325,298 &larr; 4,325,741]	444	-
yjdP	yjdP	[TU0-14130 4,313,868 &rarr; 4,314,197]	330	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	mutL // miaA // tsaE // hfq // hflX // hflC // hflK // nnr // amiB	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,066 &rarr; 4,404,304]	10239	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	mutL // miaA // tsaE // hfq // hflX // hflC // hflK // nnr // amiB	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,066 &rarr; 4,404,304]	10239	+
yjeFE-amiB-mutL-miaA-hfq-hflXKC	mutL // miaA // tsaE // hfq // hflX // hflC // hflK // nnr // amiB	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,066 &rarr; 4,404,304]	10239	+
yjeH	yjeH	[yjeH 4,369,156 &larr; 4,370,412]	1257	-
yjeI	yjeI	[yjeI 4,372,809 &rarr; 4,373,162]	354	+
yjeJ	yjeJ	[TU0-14142 4,373,365 &larr; 4,374,234]	870	-
yjeM	yjeM	[TU0-14147 4,383,839 &rarr; 4,385,341]	1503	+
yjeO // yjeN	yjeO // yjeN	[TU0-14148 4,385,393 &rarr; 4,386,018]	626	+
yjeT	yjeT	[TU0-14152 4,404,386 &rarr; 4,404,583]	198	+
yjeV	yjeV	[yjeV 4,392,892 &rarr; 4,392,945]	54	+
yjfJ // yjfI	yjfJ // yjfI	[TU0-14153 4,410,133 &rarr; 4,411,251]	1119	+
yjfKLMC	yjfM // yjfK // yjfL // yjfC	[yjfKLMC 4,411,302 &rarr; 4,414,191]	2890	+
yjfN	yjfN	[TU0-14155 4,416,017 &larr; 4,416,292]	276	-
yjfP	yjfP	[yjfP 4,416,952 &rarr; 4,417,701]	750	+
yjfY	yjfY	[yjfY 4,424,516 &larr; 4,424,791]	276	-
yjfZ	yjfZ	[yjfZ 4,426,628 &larr; 4,427,422]	795	-
yjgA	yjgA	[yjgA 4,457,314 &larr; 4,457,865]	552	-
yjgB	ahr	[yjgB 4,495,190 &larr; 4,496,209]	1020	-
yjgD	rraB	[yjgD 4,478,473 &rarr; 4,478,889]	417	+
yjgH	yjgH	[TU0-14170 4,472,814 &larr; 4,473,209]	396	-
yjgL	yjgL	[TU0-14174 4,475,437 &rarr; 4,477,251]	1815	+
yjgM	yjgM	[yjgM 4,479,034 &larr; 4,479,537]	504	-
yjgN	yjgN	[yjgN 4,479,730 &rarr; 4,480,926]	1197	+
yjgR	yjgR	[TU0-14177 4,488,561 &larr; 4,490,063]	1503	-
yjgW	yjgW	[TU0-14180 4,499,599 &rarr; 4,499,934]	336	+
yjgX	yjgX	[TU0-14182 4,499,593 &larr; 4,500,791]	1199	-
yjgZ	yjgZ	[yjgZ 4,501,260 &rarr; 4,501,589]	330	+
yjhA	nanC	[yjhA 4,538,785 &larr; 4,539,501]	717	-
yjhC // yjhB	yjhB // yjhC	[TU0-42414 4,504,058 &rarr; 4,506,405]	2348	+
yjhC // yjhB	yjhB // yjhC	[TU0-42415 4,504,058 &rarr; 4,506,405]	2348	+
yjhBC	yjhB // yjhC	[yjhBC 4,504,058 &rarr; 4,506,405]	2348	+
yjhC // yjhB	yjhB // yjhC	[TU0-42416 4,504,058 &rarr; 4,506,405]	2348	+
yjhC	yjhC	[yjhC 4,505,287 &rarr; 4,506,405]	1119	+
yjhC	yjhC	[yjhC 4,505,287 &rarr; 4,506,405]	1119	+
yjhD	yjhD	[yjhD 4,506,626 &larr; 4,506,856]	231	-
yjhE	yjhE	[TU0-14184 4,506,861 &rarr; 4,507,109]	249	+
yjhF	yjhF	[TU0-14191 4,520,671 &larr; 4,522,020]	1350	-
yjhIHG	yjhI // yjhG // yjhH	[yjhIHG 4,522,127 &larr; 4,525,803]	3677	-
yjhP	yjhP	[TU0-14194 4,532,437 &larr; 4,533,183]	747	-
yjhR	yjhR	[yjhR 4,535,015 &rarr; 4,536,031]	1017	+
yjhU	yjhU	[TU0-14190 4,519,338 &larr; 4,520,324]	987	-
yjhV // yjhW // insO2	yjhV	[TU0-14188 4,509,804 &rarr; 4,510,133]	330	+
yjiC	yjiC	[yjiC 4,555,490 &larr; 4,556,320]	831	-
yjiH // yjiG // iadA	yjiH // iadA // yjiG	[TU0-14199 4,558,354 &larr; 4,560,680]	2327	-
yjiJ	yjiJ	[TU0-14200 4,561,497 &larr; 4,562,675]	1179	-
yjiK	yjiK	[TU0-14201 4,562,743 &larr; 4,563,603]	861	-
yjiM // yjiL	yjiL // yjiM	[TU0-14202 4,563,922 &larr; 4,565,850]	1929	-
yjiR	yjiR	[yjiR 4,570,162 &larr; 4,571,574]	1413	-
yjiS	yjiS	[TU0-14205 4,571,751 &rarr; 4,571,915]	165	+
yjiT	yjiT	[yjiT 4,572,414 &rarr; 4,573,931]	1518	+
yjiV	yjiV	[TU0-14207 4,574,135 &rarr; 4,576,855]	2721	+
yjiXA	yjiX // yjiA	[yjiXA 4,587,909 &larr; 4,589,079]	1171	-
yjiY	btsT	[yjiY 4,589,129 &larr; 4,591,279]	2151	-
yjjB-dnaTC	dnaC // dnaT // yjjB	[yjjB-dnaTC 4,600,238 &larr; 4,602,097]	1860	-
yjjB-dnaTC-yjjA	dnaC // dnaT // yjjB // yjjA	[yjjB-dnaTC-yjjA 4,599,695 &larr; 4,602,097]	2403	-
yjjI	yjjI	[TU0-14221 4,615,515 &larr; 4,617,065]	1551	-
yjjJ	yjjJ	[TU0-14222 4,621,769 &rarr; 4,623,100]	1332	+
yjjK	ettA	[yjjK 4,628,855 &larr; 4,630,522]	1668	-
yjjN	lgoD	[yjjN 4,595,990 &rarr; 4,597,012]	1023	+
yjjP	yjjP	[yjjP 4,602,088 &larr; 4,602,858]	771	-
yjjQ-bglJ	bglJ // yjjQ	[yjjQ-bglJ 4,603,477 &rarr; 4,604,837]	1361	+
yjjV // yjjU	yjjU // yjjV	[TU0-14219 4,612,411 &rarr; 4,614,260]	1850	+
yjjW	yjjW	[TU0-14220 4,614,680 &larr; 4,615,543]	864	-
yjjX	yjjX	[yjjX 4,633,233 &larr; 4,633,745]	513	-
yjjY	yjjY	[TU0-12785 4,640,402 &rarr; 4,640,542]	141	+
yjjZ	yjjZ	[yjjZ 4,605,804 &rarr; 4,606,040]	237	+
yjtD	yjtD	[TU0-12786 4,640,942 &rarr; 4,641,628]	687	+
ykfA // yafZ	yafZ // ykfA	[TU0-12860 267,184 &larr; 268,960]	1777	-
ykfBF-yafX-ykfGH-yafW-ykfI	yafX // ykfG // ykfB // yafW // ykfF // ykfI // ykfH	[ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,087]	2760	-
ykfBF-yafX-ykfGH-yafW-ykfI	yafX // ykfG // ykfB // yafW // ykfF // ykfI // ykfH	[ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,087]	2760	-
ykfC	ykfC	[TU0-12863 272,847 &rarr; 273,992]	1146	+
ykfGH-yafW-ykfI	ykfG // yafW // ykfI // ykfH	[ykfGH-yafW-ykfI 263,328 &larr; 264,732]	1405	-
prfH // ykfJ	ykfJ // prfH	[TU0-12855 253,467 &rarr; 254,202]	736	+
ykgA	ykgA	[TU0-12883 316,450 &larr; 317,136]	687	-
ykgG // ykgF // ykgE	ykgG // ykgF // ykgE	[TU0-12887 321,608 &rarr; 324,453]	2846	+
ykgH	ykgH	[TU0-12888 324,696 &larr; 325,364]	669	-
ykgJ	ykgJ	[TU0-12877 303,853 &larr; 304,182]	330	-
ykgL	ykgL	[ykgL 312,112 &rarr; 312,339]	228	+
ykgMO	ykgO // ykgM	[ykgMO 312,374 &larr; 312,777]	404	-
ykgR	ykgR	[ykgR 313,141 &larr; 313,242]	102	-
ykiA	ykiA	[ykiA 408,609 &rarr; 408,950]	342	+
ykiB	ykiB	[TU0-12909 389,897 &larr; 390,115]	219	-
ylaC	ylaC	[ylaC 478,781 &larr; 479,251]	471	-
ylbG	ylbG	[TU0-12961 529,645 &larr; 530,016]	372	-
yliI	yliI	[TU0-13066 878,742 &rarr; 879,857]	1116	+
yliM-ompX	ompX // yliM	[yliM-ompX 850,332 &rarr; 850,965]	634	+
ymbA	pqiC	[ymbA 1,014,896 &rarr; 1,015,459]	564	+
gnsA // ymcE	ymcE // gnsA	[TU0-13110 1,051,847 &rarr; 1,052,240]	394	+
ymdA	ymdA	[ymdA 1,105,414 &rarr; 1,105,725]	312	+
ymdAB	ymdB // ymdA	[ymdAB 1,105,414 &rarr; 1,106,353]	940	+
ymdAB-clsC	ymdB // ymdA // clsC	[ymdAB-clsC 1,105,414 &rarr; 1,107,776]	2363	+
ymdB	ymdB	[ymdB 1,105,820 &rarr; 1,106,353]	534	+
ymdB-clsC	ymdB // clsC	[ymdB-clsC 1,105,820 &rarr; 1,107,776]	1957	+
ycdU // ymdE	ymdE // ycdU	[TU0-13118 1,095,544 &rarr; 1,096,829]	1286	+
ymdF	ymdF	[TU0-14245 1,068,081 &rarr; 1,068,254]	174	+
ymfA // ycfZ	ymfA // ycfZ	[TU0-13143 1,180,479 &larr; 1,181,725]	1247	-
ymfE // ymfD	ymfE // ymfD	[TU0-13147 1,196,867 &larr; 1,198,237]	1371	-
ymfH // xisE // intE	ymfH // intE // xisE	[TU0-13148 1,199,679 &larr; 1,201,380]	1702	-
ymfI	ymfI	[ymfI 1,201,497 &rarr; 1,201,838]	342	+
ymfJ	ymfJ	[TU0-13149 1,201,776 &larr; 1,202,084]	309	-
ymfK	ymfK	[TU0-13150 1,202,259 &larr; 1,202,933]	675	-
tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	ymfL // ymfR // tfaP // ymfT // ymfN // ycfK // ymfQ // ymfM // beeE // jayE	[TU0-13151 1,203,024 &rarr; 1,208,545]	5522	+
ariR // ymgA	ariR // ymgA	[TU0-13161 1,216,068 &rarr; 1,216,635]	568	+
ymgC	ymgC	[TU0-13162 1,216,748 &rarr; 1,216,996]	249	+
ymgE	ymgE	[TU0-13176 1,244,728 &rarr; 1,244,982]	255	+
ymgF	ymgF	[TU0-13164 1,218,983 &rarr; 1,219,201]	219	+
ymgG // ymgD	ymgG // ymgD	[TU0-13167 1,222,305 &larr; 1,222,988]	684	-
ymiA-yciX	yciX // ymiA	[ymiA-yciX 1,335,148 &rarr; 1,335,458]	311	+
ymjA	ymjA	[TU0-13207 1,357,423 &larr; 1,357,668]	246	-
ymjC // mpaA	mpaA // ymjC	[TU0-13215 1,389,870 &larr; 1,390,862]	993	-
lomR // ynaA	ynaA // lomR			+
ynaE	ynaE	[TU0-13238 1,433,991 &larr; 1,434,224]	234	-
ynaI	ynaI	[ynaI 1,394,891 &larr; 1,395,922]	1032	-
ynaJ	ynaJ	[TU0-13220 1,397,365 &rarr; 1,397,622]	258	+
