Gene_Names	Direction	Sequence - coordinates of DNA region
mgtL // mgtA	+	[mgtA 4,467,431 &rarr; 4,470,321]
rne	-	[rne 1,141,182 &larr; 1,144,367]
nupG // mltC // yggX // mutY	+	[mutY-yggX-mltC-nupG 3,103,013 &rarr; 3,106,970]
torS	-	[TU0-13112 1,053,434 &larr; 1,056,178]
ybaY	+	[ybaY 475,379 &rarr; 475,951]
yegL // pphC	-	[TU0-13501 2,151,711 &larr; 2,153,128]
alkB // ada	-	[ada-alkB 2,308,691 &larr; 2,310,405]
yhcF	+	[TU0-13893 3,366,926 &rarr; 3,367,642]
sdaC // sdaB	+	[sdaCB 2,928,229 &rarr; 2,930,943]
frwD	+	[frwD 4,147,138 &rarr; 4,147,479]
glcC	+	[glcC 3,128,272 &rarr; 3,129,036]
yfgD // bepA	+	[bepA-yfgD 2,616,094 &rarr; 2,617,937]
flk	+	[flk 2,437,950 &rarr; 2,438,945]
zapC	+	[TU0-13096 1,005,952 &rarr; 1,006,494]
uspG	-	[uspG 641,439 &larr; 641,867]
yoeF	+	[TU0-13484 2,078,575 &rarr; 2,078,931]
purD // purH	-	[purHD 4,204,642 &larr; 4,207,532]
ubiT // yhbS	-	[ubiT-yhbS 3,300,255 &larr; 3,301,276]
rpoD	+	[rpoD 3,213,047 &rarr; 3,214,888]
lptB // lptA	+	[lptAB 3,343,380 &rarr; 3,344,669]
ribA	-	[ribA 1,338,570 &larr; 1,339,160]
nfuA // yhgH	+	[gntXY 3,544,882 &rarr; 3,546,199]
rarA // lolA	+	[lolA-rarA 937,372 &rarr; 939,337]
glmZ	+	[glmZ 3,986,432 &rarr; 3,986,603]
hchA	+	[hchA 2,035,835 &rarr; 2,036,686]
melR	-	[melR 4,340,720 &larr; 4,341,628]
sstT	+	[sstT 3,239,944 &rarr; 3,241,188]
glgS	-	[glgS 3,191,739 &larr; 3,191,939]
mioC // asnC	-	[asnC-mioC 3,926,012 &larr; 3,927,003]
fliC	-	[fliC 2,002,110 &larr; 2,003,606]
bglB // bglF // bglG	-	[bglGFB 3,902,289 &larr; 3,906,567]
gsiD // gsiC // gsiB // gsiA // iaaA	+	[iaaA-gsiABCD 866,568 &rarr; 872,801]
rhtB	-	[rhtB 4,008,439 &larr; 4,009,059]
ftnA	+	[ftnA 1,988,716 &rarr; 1,989,213]
galS	-	[galS 2,240,628 &larr; 2,241,668]
yqiI // yqiH // yqiG // insD5 // insC5 // insCD5	+	
htrE // yadV	-	[yadV-htrE 152,829 &larr; 156,201]
C0465	+	[TU0-14240 1,972,739 &rarr; 1,972,816]
ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB	-	[ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,087]
galM // galK // galT // galE	-	[galETKM 787,797 &larr; 792,055]
ybhB	-	[TU0-13046 807,433 &larr; 807,909]
oxyS	-	[oxyS 4,158,285 &larr; 4,158,394]
holE	+	[TU0-13433 1,925,108 &rarr; 1,925,338]
tyrA // aroF	-	[aroF-tyrA 2,738,948 &larr; 2,741,150]
yqhH	+	[TU0-13826 3,158,627 &rarr; 3,158,884]
cbpM // cbpA	-	[cbpAM 1,062,550 &larr; 1,063,775]
nadR // radA	+	[TU0-14225 4,625,912 &rarr; 4,628,547]
yahE	+	[yahE 335,925 &rarr; 336,788]
ymjE // puuP	-	[puuP 1,357,802 &larr; 1,359,341]
nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA	+	[rsxABCDGE-nth 1,705,767 &rarr; 1,712,158]
ybgD	-	[TU0-13033 752,229 &larr; 752,795]
nudL // pabB	+	[TU0-13417 1,894,805 &rarr; 1,896,748]
ybfD	+	[TU0-13030 738,092 &rarr; 738,853]
yoaA	-	[TU0-13414 1,891,325 &larr; 1,893,235]
dgcC	+	[adrA 403,703 &rarr; 404,818]
yqgF // yqgE	+	[TU0-13806 3,092,937 &rarr; 3,093,916]
ybgC // tolQ // tolR // tolA	+	[ybgC-tolQRA 774,752 &rarr; 777,607]
yjiS	+	[TU0-14205 4,571,751 &rarr; 4,571,915]
gadF // mdtF // mdtE // gadE	+	[gadE-mdtEF 3,658,366 &rarr; 3,663,527]
lgt	-	[lgt 2,965,162 &larr; 2,966,037]
ldhA	-	[ldhA 1,441,854 &larr; 1,442,843]
djlC // ybeU	+	[TU0-13012 679,508 &rarr; 681,663]
yeaD	+	[TU0-13398 1,863,850 &rarr; 1,864,734]
ldrA	-	[ldrA 1,269,168 &larr; 1,269,275]
rplS // trmD // rimM // rpsP	-	[rpsP-rimM-trmD-rplS 2,744,183 &larr; 2,746,185]
yqfB	-	[TU0-13790 3,043,312 &larr; 3,043,623]
yjhV	+	[TU0-14188 4,509,804 &rarr; 4,510,133]
galK	-	[galK 788,831 &larr; 789,979]
mltF	+	[mltF 2,695,801 &rarr; 2,697,357]
rnk	-	[TU0-12996 643,557 &larr; 643,967]
yniD	+	[TU0-13380 1,805,165 &rarr; 1,805,272]
marC	-	[marC 1,618,243 &larr; 1,618,908]
era // rnc	-	[rnc-era 2,702,481 &larr; 2,704,063]
ygeX	+	[TU0-13774 3,007,510 &rarr; 3,008,706]
bdcA	-	[bdcA 4,473,340 &larr; 4,474,053]
ecnB	+	[ecnB 4,376,553 &rarr; 4,376,699]
yejG	-	[yejG 2,277,893 &larr; 2,278,237]
rzoD	+	[TU0-12978 578,327 &rarr; 578,509]
pta	+	[pta 2,414,747 &rarr; 2,416,891]
ydhY // ydhV // ydhW	-	[TU0-13364 1,751,077 &larr; 1,754,477]
iap	+	[iap 2,876,581 &rarr; 2,877,618]
panC // panB	-	[panBC 147,944 &larr; 149,601]
yqeF	-	[TU0-13757 2,984,411 &larr; 2,985,592]
yjfN	-	[TU0-14155 4,416,017 &larr; 4,416,292]
kup	+	[kup 3,931,316 &rarr; 3,933,184]
acpP	+	[acpP 1,151,615 &rarr; 1,151,851]
ylbG	-	[TU0-12961 529,645 &larr; 530,016]
metR	-	[metR 4,011,863 &larr; 4,012,816]
ydgA	+	[ydgA 1,689,852 &rarr; 1,691,360]
emtA	+	[emtA 1,243,180 &rarr; 1,243,791]
ppnN	+	[TU0-13739 2,926,308 &rarr; 2,927,672]
moaA // moaB // moaC // moaD // moaE	+	[moaABCDE 817,044 &rarr; 819,747]
yjdJ // yjdI	+	[TU0-14137 4,351,843 &rarr; 4,352,357]
trpS // gph // rpe // dam	-	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,913]
ucpA	-	[ucpA 2,543,832 &larr; 2,544,623]
ivbL	-	[ivbL 3,852,890 &larr; 3,852,988]
ylaC	-	[ylaC 478,781 &larr; 479,251]
pgl	+	[pgl 798,586 &rarr; 799,581]
dicF	+	[TU0-13330 1,649,382 &rarr; 1,649,434]
aslA	-	[aslA 3,984,352 &larr; 3,986,007]
ygbM // ygbL	+	[TU0-13722 2,863,593 &rarr; 2,865,012]
glyS // glyQ	-	[glyQS 3,722,328 &larr; 3,725,318]
alr	+	[alr 4,265,782 &rarr; 4,266,861]
spf	+	[spf 4,049,899 &rarr; 4,050,007]
bssS	-	[bssS 1,120,701 &larr; 1,120,955]
thrL	+	[thrL 190 &rarr; 255]
pgpA // thiL // nusB // ribE // ribD // nrdR	+	[nrdR-ribDE-nusB-thiL-pgpA 433,002 &rarr; 437,107]
ompT	-	[ompT 584,680 &larr; 585,633]
ydfI	-	[TU0-13313 1,629,453 &larr; 1,630,913]
yghU	+	[yghU 3,138,727 &rarr; 3,139,593]
ypjC	-	[TU0-13703 2,784,529 &larr; 2,785,011]
ompT // envY	-	[envY-ompT 584,680 &larr; 586,908]
sroH	-	[sroH 4,190,327 &larr; 4,190,487]
mutS	+	[mutS 2,857,093 &rarr; 2,859,654]
leuU // secG	-	[secG-leuU 3,322,072 &larr; 3,322,505]
sdiA	-	[sdiA 1,996,110 &larr; 1,996,832]
insD1 // insC1 // insCD1	+	[TU0-12904 381,351 &rarr; 382,579]
otsB // otsA	-	[otsBA 1,980,188 &larr; 1,982,387]
yneO	-	[TU0-13297 1,592,665 &larr; 1,598,086]
yfeN	+	[yfeN 2,525,127 &rarr; 2,525,891]
smpB	+	[TU0-13686 2,754,896 &rarr; 2,755,378]
chbG // chbF // chbR // chbA // chbC // chbB	-	[chbBCARFG 1,816,386 &larr; 1,821,619]
kdgT	+	[TU0-14076 4,101,690 &rarr; 4,102,673]
aroP	-	[aroP 120,178 &larr; 121,551]
tpr // tyrV	-	[tyrV-tpr 1,287,087 &larr; 1,287,328]
yghF	-	[yghF 3,112,054 &larr; 3,113,049]
rclR	+	[TU0-12886 320,227 &rarr; 321,081]
agp	+	[agp 1,065,585 &rarr; 1,066,826]
pptA	+	[TU0-13280 1,533,052 &rarr; 1,533,285]
yedP	+	[yedP 2,025,511 &rarr; 2,026,326]
pgpC // tadA	-	[pgpC-tadA 2,697,354 &larr; 2,698,550]
accD	-	[accD 2,433,012 &larr; 2,433,926]
yihI	+	[yihI 4,051,347 &rarr; 4,051,856]
pqiC // pqiB // pqiA	+	[pqiABC 1,012,001 &rarr; 1,015,459]
topB // selD	-	[selD-topB 1,844,999 &larr; 1,848,008]
yggN	-	[yggN 3,100,904 &larr; 3,101,623]
insA3 // insB3 // insAB3	-	[TU0-12870 290,649 &larr; 291,346]
waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ	-	[rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,098]
sutR	+	[sutR 1,506,172 &rarr; 1,506,708]
yddH	-	[yddH 1,533,282 &larr; 1,533,851]
rlmN	-	[TU0-13650 2,643,129 &larr; 2,644,283]
fadA // fadB	-	[fadBA 4,027,609 &larr; 4,030,971]
yigG // yigF	-	[TU0-14043 4,002,419 &larr; 4,003,193]
xseA	+	[xseA 2,634,232 &rarr; 2,635,602]
glxK	+	[glxK 541,888 &rarr; 543,033]
ompN // ydbK	-	[ydbK-ompN 1,435,760 &larr; 1,440,784]
yafP // yafO // yafN	+	[yafNOP 252,005 &rarr; 253,161]
rhoL // rho	+	[rhoL-rho 3,966,231 &rarr; 3,967,676]
pdxI	+	[TU0-13248 1,474,221 &rarr; 1,475,081]
ycgB	-	[ycgB 1,235,709 &larr; 1,237,241]
yffS	+	[TU0-13633 2,564,523 &rarr; 2,565,332]
nrfA // nrfB // nrfC // nrfD // nrfE // nrfF // nrfG	+	[nrfABCDEFG 4,287,764 &rarr; 4,294,139]
cbrB	+	[TU0-14026 3,897,506 &rarr; 3,897,973]
glpR	-	[glpR 3,559,848 &larr; 3,560,605]
rrfA // rrlA // alaT // ileT // rrsA	+	[rrsA-ileT-alaT-rrlA-rrfA 4,035,531 &rarr; 4,040,636]
pdeR	-	[pdeR 1,344,757 &larr; 1,346,742]
gmhB	+	[gmhB 222,833 &rarr; 223,408]
ptrA	-	[ptrA 2,955,996 &larr; 2,958,884]
rzoR	+	[TU0-13232 1,423,400 &rarr; 1,423,585]
zur	-	[zur 4,259,488 &larr; 4,260,003]
yfeO	+	[TU0-13615 2,509,630 &rarr; 2,510,886]
livJ	-	[livJ 3,598,555 &larr; 3,599,658]
nepI	-	[nepI 3,840,549 &larr; 3,841,739]
arcA	-	[arcA 4,639,590 &larr; 4,640,306]
nagC	-	[nagC 700,374 &larr; 701,594]
plsB	-	[plsB 4,254,043 &larr; 4,256,466]
uof // fur // fldA	-	[fldA-uof-fur 710,200 &larr; 711,465]
tyrP	+	[tyrP 1,989,681 &rarr; 1,990,892]
ymjC // mpaA	-	[TU0-13215 1,389,870 &larr; 1,390,862]
ypdI	+	[ypdI 2,494,698 &rarr; 2,494,973]
yfdC	+	[TU0-13599 2,465,301 &rarr; 2,466,233]
tonB	+	[tonB 1,311,089 &rarr; 1,311,808]
secB // gpsA	-	[secB-gpsA 3,782,642 &larr; 3,784,128]
mobB // mobA	-	[mobAB 4,040,906 &larr; 4,041,999]
sroA	-	[sroA 75,516 &larr; 75,608]
phoU // pstB // pstA // pstC	-	[pstCAB-phoU 3,906,853 &larr; 3,910,398]
yabI	+	[yabI 71,351 &rarr; 72,115]
eno // pyrG	-	[pyrG-eno 2,906,643 &larr; 2,909,666]
rluB	+	[TU0-13195 1,326,852 &rarr; 1,327,727]
gstB	-	[gstB 879,854 &larr; 880,480]
yfbU // hxpA	-	[yfbU-hxpA 2,411,439 &larr; 2,412,594]
fecE // fecD // fecC // fecB // fecA	-	[fecABCDE 4,510,690 &larr; 4,516,677]
yiaD	+	[TU0-13979 3,716,547 &rarr; 3,717,206]
putP	+	[putP 1,079,305 &rarr; 1,080,813]
hypF	-	[hypF 2,835,173 &larr; 2,837,425]
hisP // hisM // hisQ // hisJ // argT	-	[argT-hisJQMP 2,423,736 &larr; 2,427,791]
yjtD	+	[TU0-12786 4,640,942 &rarr; 4,641,628]
hisS	-	[hisS 2,639,301 &larr; 2,640,575]
ldcA	-	[TU0-13175 1,242,166 &larr; 1,243,080]
ahr	-	[yjgB 4,495,190 &larr; 4,496,209]
yfaX // rhmD	-	[TU0-13566 2,360,209 &larr; 2,362,211]
udp	+	[udp 4,016,431 &rarr; 4,017,192]
gor	+	[TU0-13959 3,646,299 &rarr; 3,647,651]
infB // nusA // rimP // metY	-	[metY-yhbC-nusA-infB 3,313,342 &larr; 3,318,289]
insJ	+	[insJ 3,720,680 &rarr; 3,721,201]
gpmA	-	[gpmA 786,843 &larr; 787,595]
rrfG // rrlG // gltW // rrsG	-	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,157]
manA	+	[manA 1,688,576 &rarr; 1,689,751]
bluF	-	[TU0-13159 1,214,264 &larr; 1,215,475]
cbrA	+	[cbrA 3,869,377 &rarr; 3,870,441]
mepS	+	[mepS 2,269,979 &rarr; 2,270,545]
cadC	-	[cadC 4,360,396 &larr; 4,361,934]
yhhN	+	[TU0-13943 3,605,751 &rarr; 3,606,377]
pheV	+	[pheV 3,110,366 &rarr; 3,110,441]
insH2	-	[insH-2 574,737 &larr; 575,717]
trxC	+	[trxC 2,718,735 &rarr; 2,719,154]
dsbA // srkA	+	[srkA-dsbA 4,042,415 &rarr; 4,044,044]
pnp // rpsO // truB // rbfA // infB // nusA // rimP // metY	-	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,309,033 &larr; 3,318,289]
cobB // nagK	+	[TU0-13142 1,178,593 &rarr; 1,180,359]
panZ	+	[panZ 3,597,984 &rarr; 3,598,367]
yohF	-	[TU0-13531 2,226,509 &larr; 2,227,270]
cyoE // cyoD // cyoC // cyoB // cyoA	-	[cyoABCDE 446,815 &larr; 451,610]
yhfZ // yhfY	-	[TU0-13925 3,511,060 &larr; 3,512,344]
pyrL // pyrI // pyrB	-	[pyrLBI 4,470,986 &larr; 4,472,533]
diaA	+	[diaA 3,295,809 &rarr; 3,296,399]
fhuE	-	[fhuE 1,159,362 &larr; 1,161,551]
rnlB	+	[rnlB 2,766,984 &rarr; 2,767,355]
yggX // mutY	+	[mutY-yggX 3,103,013 &rarr; 3,104,368]
mdtG	-	[TU0-13125 1,114,264 &larr; 1,115,490]
ybhD	-	[ybhD 799,622 &larr; 800,575]
rcnB	+	[TU0-13515 2,186,960 &rarr; 2,187,298]
tnaC // tnaA // tnaB	+	[tnaCAB 3,888,435 &rarr; 3,891,483]
yhdU	+	[TU0-13906 3,412,621 &rarr; 3,412,800]
glgP // glgA // glgC	-	[glgCAP 3,564,134 &larr; 3,569,328]
pqiC	+	[ymbA 1,014,896 &rarr; 1,015,459]
serA	-	[serA 3,057,178 &larr; 3,058,410]
yecR	+	[yecR 1,988,222 &rarr; 1,988,545]
mutM // rpmG // rpmB // yicR	-	[yicR-rpmBG-mutM 3,810,343 &larr; 3,812,559]
insB4 // insA4 // insAB4	+	[TU0-13109 1,049,833 &rarr; 1,050,530]
yahO	+	[yahO 346,484 &rarr; 346,759]
wcaK // wcaL // wcaM	-	[TU0-13498 2,114,502 &larr; 2,118,404]
uvrA	-	[uvrA 4,271,049 &larr; 4,273,871]
elbB // mtgA	-	[TU0-13890 3,349,081 &larr; 3,350,459]
yecM // cutC	-	[yecM-cutC 1,958,520 &larr; 1,959,846]
rlmM	-	[rlmM 2,940,143 &larr; 2,941,243]
dcuD	+	[dcuD 3,374,869 &rarr; 3,376,236]
spy	-	[spy 1,825,140 &larr; 1,825,625]
ulaG	-	[ulaG 4,418,561 &larr; 4,419,625]
asnS	-	[asnS 987,585 &larr; 988,985]
ubiF	+	[ubiF 695,101 &rarr; 696,276]
phoB // phoR	+	[phoBR 417,142 &rarr; 419,184]
yraK // yraJ // yraI	+	[TU0-13874 3,288,090 &rarr; 3,292,432]
rpsU // dnaG // rpoD	+	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]
mtr	-	[mtr 3,304,573 &larr; 3,305,817]
asr	+	[asr 1,671,376 &rarr; 1,671,684]
asnB	-	[asnB 697,513 &larr; 699,177]
lysO	-	[lysO 913,958 &larr; 914,857]
micA	+	[micA 2,814,802 &rarr; 2,814,873]
yedR // yedJ	-	[TU0-13463 2,032,384 &larr; 2,033,484]
lexA // dinF	+	[lexA-dinF 4,257,115 &rarr; 4,259,121]
ygjQ	+	[TU0-13857 3,236,540 &rarr; 3,237,232]
tpke11 // dnaK // dnaJ	+	[dnaKJ 12,163 &rarr; 15,298]
rplT // rpmI	-	[rpmI-rplT 1,799,393 &larr; 1,799,999]
eno	-	[eno 2,906,643 &larr; 2,907,941]
crr	+	[crr 2,535,834 &rarr; 2,536,343]
ybiU	-	[TU0-13060 857,796 &larr; 859,061]
rdlC	+	[rdlC 1,270,393 &rarr; 1,270,460]
insA5 // insB5 // insAB5	-	[insA5B5AB5 1,978,518 &larr; 1,979,215]
dusB // fis	+	[dusB-fis 3,410,280 &rarr; 3,411,567]
sroG // ribB	-	[sroG-ribB 3,183,813 &larr; 3,184,718]
htpX	-	[htpX 1,911,695 &larr; 1,912,576]
yeiW	-	[yeiW 2,265,041 &larr; 2,265,295]
topB // selD	-	[selD-topB 1,844,999 &larr; 1,848,008]
gntR	-	[gntR 3,577,731 &larr; 3,578,726]
ybhI	+	[TU0-13043 801,887 &rarr; 803,320]
nfuA	+	[nfuA 3,545,624 &rarr; 3,546,199]
yebW	+	[TU0-13430 1,922,121 &rarr; 1,922,312]
argF	-	[argF 289,301 &larr; 290,305]
dkgA // yqhD	+	[yqhD-dkgA 3,155,355 &rarr; 3,157,450]
pflB	-	[pflB 951,272 &larr; 953,554]
yjjI	-	[TU0-14221 4,615,515 &larr; 4,617,065]
cspC // yobF	-	[yobF-cspC 1,907,226 &larr; 1,907,591]
mutT // secA // secM	+	[secMA-mutT 107,705 &rarr; 111,433]
nei // pxpA // pxpC // pxpB // ybgI	+	[ybgIJKL-nei 742,827 &rarr; 746,726]
lptD	-	[imp 54,755 &larr; 57,109]
dnaE // rnhB // lpxB // lpxA // fabZ // lpxD // skp // bamA	+	[bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 197,928 &rarr; 208,608]
ybfC // ybfO	+	[TU0-13027 734,220 &rarr; 736,219]
yeaW // yeaV	+	[TU0-13411 1,883,188 &rarr; 1,885,789]
yjjA // dnaC // dnaT // yjjB	-	[yjjB-dnaTC-yjjA 4,599,695 &larr; 4,602,097]
tehA // tehB	+	[tehAB 1,500,573 &rarr; 1,502,155]
yjiM // yjiL	-	[TU0-14202 4,563,922 &larr; 4,565,850]
ogt	-	[ogt 1,399,721 &larr; 1,400,236]
ampG // yajG	-	[yajG-ampG 452,070 &larr; 454,167]
macB	+	[macB 920,347 &rarr; 922,293]
rsfS // rlmH // mrdA // mrdB // rlpA	-	[rsfS-rlmH-mrdAB-rlpA 664,102 &larr; 669,036]
ydjL // ydjK // ydjJ // ydjI // ydjH // ydjG	-	[ydjLKJIHG 1,854,991 &larr; 1,861,332]
ivy	+	[ivy 240,343 &rarr; 240,816]
rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	-	[rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ 3,448,314 &larr; 3,453,270]
xerD	-	[TU0-13787 3,038,847 &larr; 3,039,743]
yjhE	+	[TU0-14184 4,506,861 &rarr; 4,507,109]
ygiC // ygiB // tolC	+	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]
galT // galE	-	[galET 789,983 &larr; 792,055]
ydhB	-	[ydhB 1,738,866 &larr; 1,739,798]
ybdN	-	[ybdN 635,349 &larr; 636,569]
ydiV	-	[ydiV 1,791,307 &larr; 1,792,020]
micC	+	[micC 1,437,121 &rarr; 1,437,229]
rcsC	-	[rcsC 2,317,027 &larr; 2,319,876]
glyU	-	[TU0-13770 2,998,984 &larr; 2,999,057]
cybC	+	[TU0-14168 4,459,488 &rarr; 4,459,855]
phr // ybgA	+	[ybgA-phr 739,001 &rarr; 740,925]
degQ	+	[degQ 3,380,743 &rarr; 3,382,110]
ybcM // ybcL	+	[TU0-12974 570,893 &rarr; 572,251]
cho	+	[cho 1,823,515 &rarr; 1,824,402]
ydhR	+	[TU0-13361 1,746,700 &rarr; 1,747,005]
helD	+	[helD 1,024,471 &rarr; 1,026,525]
nuoN // nuoM // nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA	-	[nuoABCEFGHIJKLMN 2,390,048 &larr; 2,405,072]
ygeA	-	[TU0-13754 2,979,943 &larr; 2,980,635]
yjeT	+	[TU0-14152 4,404,386 &rarr; 4,404,583]
rpsK // rpsD // rpoA // rplQ // rpsM	-	[rpsMKD-rpoA-rplQ 3,439,616 &larr; 3,442,471]
cbpM // cbpA	-	[cbpA-cbpM 1,062,550 &larr; 1,063,775]
fetB // fetA	+	[fetAB 515,919 &rarr; 517,362]
yggE	-	[yggE 3,067,340 &larr; 3,068,080]
ydgH	+	[TU0-13344 1,678,427 &rarr; 1,679,371]
dsrA	-	[dsrA 2,025,227 &larr; 2,025,313]
yqcC // truC // yqcA	-	[TU0-13736 2,922,535 &larr; 2,924,113]
opgG // opgH	+	[mdoGH 1,109,335 &rarr; 1,113,406]
rdcB // rdcA	+	[rdcAB 4,327,135 &rarr; 4,330,238]
trpS // gph // rpe // dam // damX // aroB // aroK	-	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,064]
gatA // gatB // gatC // gatD // gatZ	-	[gatZABCD 2,171,833 &larr; 2,176,321]
trpL	-	[trpL 1,323,038 &larr; 1,323,082]
ffs	+	[TU0-12938 476,448 &rarr; 476,561]
fbaA // pgk // epd	-	[epd-pgk-fbaA 3,070,165 &larr; 3,073,691]
dicC // ydfX // ydfW	-	[dicC-ydfXW 1,647,174 &larr; 1,647,850]
ais	-	[ais 2,365,018 &larr; 2,365,620]
mltB	-	[TU0-13719 2,824,491 &larr; 2,825,576]
ftsX // ftsE // ftsY	-	[ftsYEX 3,601,028 &larr; 3,604,243]
yjbM // yjbL	+	[TU0-14117 4,260,321 &rarr; 4,261,306]
acnA	+	[acnA 1,335,831 &rarr; 1,338,506]
entH	+	[entH 629,300 &rarr; 629,713]
fumC	-	[fumC 1,685,185 &larr; 1,686,588]
proY // brnQ	+	[brnQ-proY 419,591 &rarr; 422,359]
hemL	-	[hemL 173,602 &larr; 174,882]
ydfG	+	[ydfG 1,627,517 &rarr; 1,628,263]
ygfZ	+	[ygfZ 3,041,313 &rarr; 3,042,293]
ypjA	-	[TU0-13700 2,778,146 &larr; 2,782,726]
yjjA // dnaC // dnaT	-	[dnaTC-yjjA 4,599,695 &larr; 4,601,517]
eptC	-	[TU0-14094 4,148,532 &larr; 4,150,265]
proX // proW // proV	+	[proVWX 2,804,815 &rarr; 2,808,124]
hflC // hflK // hflX // hfq	+	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]
ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	-	[ddpXABCDF 1,557,112 &larr; 1,563,076]
yaiL	+	[TU0-12901 376,772 &rarr; 377,311]
yhhY	+	[yhhY 3,581,138 &rarr; 3,581,626]
ydeT // ydeS // ydeR	-	[TU0-13294 1,587,793 &larr; 1,590,001]
smrB	+	[yfcN 2,448,606 &rarr; 2,449,157]
yfjD	+	[TU0-13682 2,748,774 &rarr; 2,750,060]
basS // basR	-	[basRS 4,332,181 &larr; 4,333,950]
fdhD	+	[TU0-14073 4,086,016 &rarr; 4,086,849]
rpmF // yceD	+	[yceD-rpmF 1,146,794 &rarr; 1,147,540]
aroM // yaiA	+	[yaiA-aroM 406,979 &rarr; 408,105]
yjhC // yjhB	+	[TU0-42414 4,504,058 &rarr; 4,506,405]
ykgA	-	[TU0-12883 316,450 &larr; 317,136]
rpiA	-	[rpiA 3,058,666 &larr; 3,059,325]
yncI	+	[TU0-13277 1,530,586 &rarr; 1,531,639]
yecH	-	[yecH 1,989,251 &larr; 1,989,490]
yphF // yphE // yphD	-	[TU0-13663 2,675,827 &larr; 2,679,367]
gntT	+	[gntT 3,546,559 &rarr; 3,547,875]
hemG // trkH // yigZ // pepQ	+	[pepQ-yigZ-trkH-hemG 4,031,161 &rarr; 4,035,153]
rnpB	-	[rnpB 3,270,216 &larr; 3,270,592]
rfbX // rfbC // rfbA	-	[rfbACX 2,108,337 &larr; 2,111,019]
ydiY	-	[TU0-41842 1,805,325 &larr; 1,806,083]
yagF // yagE	+	[TU0-12867 282,278 &rarr; 285,168]
galP	+	[galP 3,088,284 &rarr; 3,089,678]
ydcL	+	[TU0-13261 1,502,457 &rarr; 1,503,125]
ydcI	-	[ydcI 1,494,148 &larr; 1,495,071]
yfgG	+	[yfgG 2,629,290 &rarr; 2,629,481]
torC // torA // torD	+	[torCAD 1,058,084 &rarr; 1,062,398]
yifK	+	[TU0-14040 3,980,887 &rarr; 3,982,272]
hupB	+	[hupB 461,451 &rarr; 461,723]
nrdG	-	[nrdG 4,459,900 &larr; 4,460,364]
purU	-	[TU0-41712 1,287,782 &larr; 1,288,624]
rayT	+	[TU0-12851 247,637 &rarr; 248,134]
pabA // fic // yhfG	-	[yhfG-fic-pabA 3,490,266 &larr; 3,491,620]
insC2 // insD2 // insCD2	-	[TU0-13245 1,467,921 &larr; 1,469,149]
yceF	-	[yceF 1,146,011 &larr; 1,146,595]
yffL	+	[TU0-13629 2,560,257 &rarr; 2,560,898]
manX // manY // manZ	+	[manXYZ 1,902,048 &rarr; 1,904,746]
mdtL	+	[TU0-14022 3,891,615 &rarr; 3,892,790]
glpR // glpG // glpE	-	[glpEGR 3,559,848 &larr; 3,561,823]
nfuA	+	[nfuA 3,545,624 &rarr; 3,546,199]
csiE	+	[csiE 2,665,435 &rarr; 2,666,715]
nlpE // arfB // yaeQ	+	[yaeQ-arfB-nlpE 214,291 &rarr; 215,979]
rplT	-	[rplT 1,799,393 &larr; 1,799,749]
ydaG // ydaF	-	[TU0-13229 1,419,156 &larr; 1,419,456]
ytfH	+	[ytfH 4,434,113 &rarr; 4,434,493]
alaC	-	[alaC 2,497,057 &larr; 2,498,295]
umuD // umuC	+	[umuDC 1,230,767 &rarr; 1,232,454]
selC	+	[selC 3,836,222 &rarr; 3,836,316]
arcA	-	[arcA 4,639,590 &larr; 4,640,306]
chaC	+	[chaC 1,272,507 &rarr; 1,273,202]
yjbH // yjbG // yjbF // yjbE	+	[yjbEFGH 4,235,906 &rarr; 4,239,730]
yadE	+	[TU0-12817 145,081 &rarr; 146,310]
ihfA // pheM // pheT // pheS	-	[pheMST-ihfA 1,795,253 &larr; 1,799,270]
ompG // ymjB // ycjV // ycjU // ycjT // ycjS // ycjR // ycjQ // ycjP // ycjO // ycjN // ycjM	+	[TU0-13212 1,370,216 &rarr; 1,382,852]
yobH	+	[yobH 1,908,925 &rarr; 1,909,164]
yfcV	-	[TU0-13595 2,455,083 &larr; 2,455,646]
